cnumber,cnumber2,ptype,pname,month,year,VAN0,VAN1,VAN2,lotnum,city,county,state,country,longitude,latitude,fips,title,thumb_url,small_url,large_url
fsa1998007582/PP,LC-USF33-020805,M5,Jack Delano,3,1941,People As Such,Children,Groups of Children,1534,Pacolet,Spartanburg County,South Carolina,United States,-81.7617679,34.8990182,45083,"Negro youngsters watching the construction of the prefabricated houses built by the FSA (Farm Security Administration) for farmers moved out of the Camp Croft area. Near Pacolet, South Carolina",thumb/0360/0364/8a35172_150px.jpg,small/0360/0364/8a35172r.jpg,large/0360/0364/8a35172v.jpg
fsa1998007588/PP,LC-USF33-020807,M1,Jack Delano,3,1941,Transportation,Road Transport,Automobiles,1534,Pacolet,Spartanburg County,South Carolina,United States,-81.7617679,34.8990182,45083,"Negro youngsters and their Model &quot;T&quot; near Pacolet, South Carolina",thumb/0360/0364/3c30324_150px.jpg,small/0360/0364/3c30324r.jpg,large/0360/0364/3c30324v.jpg
fsa1998007591/PP,LC-USF33-020807,M4,Jack Delano,3,1941,Transportation,Road Transport,Automobiles,1534,Pacolet,Spartanburg County,South Carolina,United States,-81.7617679,34.8990182,45083,"Negro youngsters and their Model &quot;T&quot; near Pacolet, South Carolina",thumb/0360/0364/8a35181_150px.jpg,small/0360/0364/8a35181r.jpg,large/0360/0364/8a35181v.jpg
fsa1998007594/PP,LC-USF33-020808,M2,Jack Delano,3,1941,People As Such,Groups and Individuals,Youths,1534,Whitestone,Dorchester County,South Carolina,United States,-80.6698198,33.1659958,45035,"Boys living in the Camp Croft area waiting for the truck to come and move their families out near Whitestone, South Carolina",thumb/0360/0364/8a35184_150px.jpg,small/0360/0364/8a35184r.jpg,large/0360/0364/8a35184v.jpg
fsa1998007595/PP,LC-USF33-020808,M3,Jack Delano,3,1941,People As Such,Groups and Individuals,Youths,1534,Spartanburg,Spartanburg County,South Carolina,United States,-81.9320482,34.9495672,45083,"Spartanburg, South Carolina. Children of a family who are moving out of the military reservation area",thumb/0360/0364/8a35185_150px.jpg,small/0360/0364/8a35185r.jpg,large/0360/0364/8a35185v.jpg
fsa1998007596/PP,LC-USF33-020808,M4,Jack Delano,3,1941,Transportation,Road Transport,Automobiles,1534,Spartanburg,Spartanburg County,South Carolina,United States,-81.9320482,34.9495672,45083,"Spartanburg, South Carolina. Children of a family who are moving out of the military reservation area",thumb/0360/0364/8a35186_150px.jpg,small/0360/0364/8a35186r.jpg,large/0360/0364/8a35186v.jpg
fsa1998007598/PP,LC-USF33-020809,M1,Jack Delano,3,1941,Transportation,Road Transport,Moving Household Goods,1535,Whitestone,Dorchester County,South Carolina,United States,-80.6698198,33.1659958,45035,"Family moving out of the Camp Croft area. Near Whitestone, South Carolina",thumb/0360/0364/8a35188_150px.jpg,small/0360/0364/8a35188r.jpg,large/0360/0364/8a35188v.jpg
fsa1998007605/PP,LC-USF33-020810,M3,Jack Delano,3,1941,People As Such,Groups and Individuals,Farm Families,1534,Whitestone,Dorchester County,South Carolina,United States,-80.6698198,33.1659958,45035,"Relatives of the aged Harvey sisters who have come to help them move out of their home in the Camp Croft area. Near Whitestone, South Carolina",thumb/0360/0364/8a35195_150px.jpg,small/0360/0364/8a35195r.jpg,large/0360/0364/8a35195v.jpg
fsa1998007609/PP,LC-USF33-020811,M3,Jack Delano,3,1941,People As Such,Groups and Individuals,Farm Women,1534,Whitestone,Dorchester County,South Carolina,United States,-80.6698198,33.1659958,45035,"Mrs. Harvey who lost her husband in the last war is having to move out of her home in the Camp Croft area. She had been living there with a sister and a young nephew. Near Whitestone, South Carolina",thumb/0360/0364/8a35199_150px.jpg,small/0360/0364/8a35199r.jpg,large/0360/0364/8a35199v.jpg
fsa1998007611/PP,LC-USF33-020812,M2,Jack Delano,4,1941,Work,Processing and Manufacturing,Photography,1574,Hinesville,Liberty County,Georgia,United States,-81.5959453,31.846877,13179,"Photographer&#39;s booth in Hinesville, Georgia",thumb/0360/0364/8a35202_150px.jpg,small/0360/0364/8a35202r.jpg,large/0360/0364/8a35202v.jpg
fsa1998007612/PP,LC-USF33-020812,M3,Jack Delano,4,1941,Work,Selling and Distribution,"Novelties, Souvenirs",1574,Hinesville,Liberty County,Georgia,United States,-81.5959453,31.846877,13179,"A novelty goods store just outside Camp Stewart, Hinesville, Georgia",thumb/0360/0364/8a35203_150px.jpg,small/0360/0364/8a35203r.jpg,large/0360/0364/8a35203v.jpg
fsa1998007614/PP,LC-USF33-020812,M5,Jack Delano,4,1941,Work,Selling and Distribution,"Novelties, Souvenirs",1574,Hinesville,Liberty County,Georgia,United States,-81.5959453,31.846877,13179,"Post cards for sale at a novelty goods store just outside Camp Stewart, near Hinesville, Georgia",thumb/0360/0364/8a35205_150px.jpg,small/0360/0364/8a35205r.jpg,large/0360/0364/8a35205v.jpg
fsa1998007615/PP,LC-USF33-020813,M1,Jack Delano,4,1941,Work,Selling and Distribution,"Novelties, Souvenirs",1574,Hinesville,Liberty County,Georgia,United States,-81.5959453,31.846877,13179,"Souvenirs for sale at a new novelty goods store just outside Camp Stewart, near Hinesville, Georgia",thumb/0360/0364/8a35206_150px.jpg,small/0360/0364/8a35206r.jpg,large/0360/0364/8a35206v.jpg
fsa1998007617/PP,LC-USF33-020813,M3,Jack Delano,4,1941,Work,Processing and Manufacturing,Photography,1574,Hinesville,Liberty County,Georgia,United States,-81.5959453,31.846877,13179,"Photographer&#39;s booth in a novelty goods store just outside of Camp Stewart, near Hinesville, Georgia",thumb/0360/0364/8a35208_150px.jpg,small/0360/0364/8a35208r.jpg,large/0360/0364/8a35208v.jpg
fsa1998007619/PP,LC-USF33-020813,M5,Jack Delano,4,1941,Social and Personal Activity,"Hotels, Restaurants, Clubs, Vacations","Bars, Saloons, Night Clubs",1574,Hinesville,Liberty County,Georgia,United States,-81.5959453,31.846877,13179,"At a beer joint and entertainment hall recently put up just outside the Camp Stewart grounds. Near Hinesville, Georgia",thumb/0360/0364/8a35210_150px.jpg,small/0360/0364/8a35210r.jpg,large/0360/0364/8a35210v.jpg
fsa1998007620/PP,LC-USF33-020814,M1,Jack Delano,4,1941,Social and Personal Activity,"Hotels, Restaurants, Clubs, Vacations","Bars, Saloons, Night Clubs",1574,Hinesville,Liberty County,Georgia,United States,-81.5959453,31.846877,13179,"At a beer joint and entertainment hall recently put up just outside the Camp Stewart grounds. Near Hinesville, Georgia",thumb/0360/0364/3c30261_150px.jpg,small/0360/0364/3c30261r.jpg,large/0360/0364/3c30261v.jpg
fsa1998007622/PP,LC-USF33-020814,M3,Jack Delano,4,1941,War,Servicemen on Leave,Servicemen on Leave,1574,Hinesville,Liberty County,Georgia,United States,-81.5959453,31.846877,13179,"A variety of entertainment booths have sprung up just outside the camp grounds, near Hinesville, Georgia",thumb/0360/0364/8a35213_150px.jpg,small/0360/0364/8a35213r.jpg,large/0360/0364/8a35213v.jpg
fsa1998007626/PP,LC-USF33-020815,M2,Jack Delano,4,1941,Work,Selling and Distribution,"Novelties, Souvenirs",1574,Hinesville,Liberty County,Georgia,United States,-81.5959453,31.846877,13179,"Stores selling novelty goods and &quot;knick knacks&quot; have sprung up just outside the Camp Stewart grounds, near Hinesville, Georgia",thumb/0360/0364/8a35217_150px.jpg,small/0360/0364/8a35217r.jpg,large/0360/0364/8a35217v.jpg
fsa1998007627/PP,LC-USF33-020815,M3,Jack Delano,4,1941,Work,Selling and Distribution,"Novelties, Souvenirs",1574,Hinesville,Liberty County,Georgia,United States,-81.5959453,31.846877,13179,"A variety of entertainment booths have sprung up just outside the Camp Stewart grounds near Hinesville, Georgia",thumb/0360/0364/8a35218_150px.jpg,small/0360/0364/8a35218r.jpg,large/0360/0364/8a35218v.jpg
fsa1998007628/PP,LC-USF33-020815,M4,Jack Delano,4,1941,Work,Services,Miscellaneous Services,1574,Hinesville,Liberty County,Georgia,United States,-81.5959453,31.846877,13179,"A variety of entertainment booths have sprung up just outside the Camp Stewart grounds near Hinesville, Georgia",thumb/0360/0364/8a35219_150px.jpg,small/0360/0364/8a35219r.jpg,large/0360/0364/8a35219v.jpg
fsa1998007632/PP,LC-USF33-020816,M3,Jack Delano,4,1941,People As Such,Groups and Individuals,Groups of People,1574,Hinesville,Liberty County,Georgia,United States,-81.5959453,31.846877,13179,"On the porch of a general store in Hinesville, Georgia",thumb/0360/0365/8a35223_150px.jpg,small/0360/0365/8a35223r.jpg,large/0360/0365/8a35223v.jpg
fsa1998007634/PP,LC-USF33-020816,M5,Jack Delano,4,1941,People As Such,Groups and Individuals,Farm Women,1534,Spartanburg,Spartanburg County,South Carolina,United States,-81.9320482,34.9495672,45083,"Mrs. L.A. Anderson, living in the Camp Croft area, who has come to help a neighbor move. Near Spartanburg, South Carolina",thumb/0360/0365/8a35225_150px.jpg,small/0360/0365/8a35225r.jpg,large/0360/0365/8a35225v.jpg
fsa1998007635/PP,LC-USF33-020817,M1,Jack Delano,4,1941,Homes and Living Conditions,Premanent Homes,"Details, Decorative Objects",1535,Spartanburg,Spartanburg County,South Carolina,United States,-81.9320482,34.9495672,45083,"Belongings of a Negro farmer set out on the porch to be moved out of the Camp Croft army camp area. Near Spartanburg, South Carolina",thumb/0360/0365/8a35226_150px.jpg,small/0360/0365/8a35226r.jpg,large/0360/0365/8a35226v.jpg
fsa1998007640/PP,LC-USF33-020818,M2,Jack Delano,4,1941,People As Such,Groups and Individuals,Farm Women,1534,Whitestone,Dorchester County,South Carolina,United States,-80.6698198,33.1659958,45035,"Mrs. Harvey. One of the many people who are moving out of the Camp Croft area to make room for the expansion of the camp. Near Whitestone, South Carolina",thumb/0360/0365/8a35231_150px.jpg,small/0360/0365/8a35231r.jpg,large/0360/0365/8a35231v.jpg
fsa1998007642/PP,LC-USF33-020819,M1,Jack Delano,4,1941,Work,"Agriculture: Crops, Livestock, Ranches",Dairy Cattle,1573,Hinesville,Liberty County,Georgia,United States,-81.5959453,31.846877,13179,"Cattle and hogs graze along the roadside in the lowlands near Hinesville, Georgia",thumb/0360/0365/8a35233_150px.jpg,small/0360/0365/8a35233r.jpg,large/0360/0365/8a35233v.jpg
fsa1998007643/PP,LC-USF33-020819,M2,Jack Delano,4,1941,Work,"Agriculture: Crops, Livestock, Ranches",Dairy Cattle,1574,Hinesville,Liberty County,Georgia,United States,-81.5959453,31.846877,13179,"Cattle and hogs graze along the roadside in the lowlands near Hinesville, Georgia",thumb/0360/0365/8a35234_150px.jpg,small/0360/0365/8a35234r.jpg,large/0360/0365/8a35234v.jpg
fsa1998007647/PP,LC-USF33-020820,M1,Jack Delano,4,1941,Work,Forest Products,Turpentine,1543,Pembroke,Bryan County,Georgia,United States,-81.6220566,32.1360332,13029,"Chipping turpentine on a second-year face with a &quot;hack.&quot; Near Pembroke, Georgia",thumb/0360/0365/8a35238_150px.jpg,small/0360/0365/8a35238r.jpg,large/0360/0365/8a35238v.jpg
fsa1998007648/PP,LC-USF33-020820,M2,Jack Delano,4,1941,Work,Forest Products,Turpentine,1543,Pembroke,Bryan County,Georgia,United States,-81.6220566,32.1360332,13029,"Chipping turpentine on a second-year face with a &quot;hack.&quot; Near Pembroke, Georgia",thumb/0360/0365/8a35239_150px.jpg,small/0360/0365/8a35239r.jpg,large/0360/0365/8a35239v.jpg
fsa1998007649/PP,LC-USF33-020820,M3,Jack Delano,4,1941,Work,"Agriculture: Crops, Livestock, Ranches",Dairy Cattle,1574,Hinesville,Liberty County,Georgia,United States,-81.5959453,31.846877,13179,"Cattle and hogs graze along the roadside in the lowlands, near Hinesville, Georgia",thumb/0360/0365/8a35240_150px.jpg,small/0360/0365/8a35240r.jpg,large/0360/0365/8a35240v.jpg
fsa1998007652/PP,LC-USF33-020821,M1,Jack Delano,4,1941,Work,Forest Products,Turpentine,1543,Pembroke,Bryan County,Georgia,United States,-81.6220566,32.1360332,13029,"Rosin flowing on a four-year face. The tool is a &quot;puller.&quot; Near Pembroke, Georgia",thumb/0360/0365/8a35243_150px.jpg,small/0360/0365/8a35243r.jpg,large/0360/0365/8a35243v.jpg
